Code,Name,Color,ImageUrl
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515843"";""10100"")",PLA Basic,Jade White,https://store.bblcdn.eu/s8/default/2b4a62ed4c044e8f9353a6ca8f93caea/White.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515844"";""10201"")",PLA Basic,Beige,https://store.bblcdn.eu/s8/default/e1860649e4074090a480646e0c58a7bb/Beige.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515845"";""10104"")",PLA Basic,Light Gray,https://store.bblcdn.eu/s8/default/b4f66db9ca704f19b120ccccd0f41a85/plalightgray.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515846"";""10400"")",PLA Basic,Yellow,https://store.bblcdn.eu/s8/default/9e551c519d954245b5ac7f779f99441d/Yellow.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515847"";""10402"")",PLA Basic,Sunflower Yellow,https://store.bblcdn.eu/s8/default/1d4c7a172193440882b37ac54252563a/SunflowerYellow.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515848"";""10401"")",PLA Basic,Gold,https://store.bblcdn.eu/s8/default/2bf6b62353f04971b9d272c890f10840/Gold.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515849"";""10301"")",PLA Basic,Pumpkin Orange,https://store.bblcdn.eu/s8/default/4793a9395b764dd598fbfa13544ddeb9/PumpkinOrange.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515850"";""10300"")",PLA Basic,Orange,https://store.bblcdn.eu/s8/default/de761aa5234d4fd8b05176edcaad3ee4/Orange.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515851"";""10503"")",PLA Basic,Bright Green,https://store.bblcdn.eu/s8/default/f142f0aca7d54dcb9da3d30d7beb2185/BrightGreen.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515852"";""10501"")",PLA Basic,Bambu Green,https://store.bblcdn.eu/s8/default/fd09b20d185a4f8896fe72aafd07451b/Bambu_Green.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515853"";""10502"")",PLA Basic,Mistletoe Green,https://store.bblcdn.eu/s8/default/386da0a9267b40a997ace0bacae58839/2df013fd41a034aa180c1c5f641ef9c4.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515854"";""10203"")",PLA Basic,Pink,https://store.bblcdn.eu/s8/default/acf1cd31f7ad49a7b444b78d18508200/Pink.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515855"";""10204"")",PLA Basic,Hot Pink,https://store.bblcdn.eu/s8/default/085592ec366e4a15b19e19fd5a1dd154/HotPink.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515856"";""10202"")",PLA Basic,Magenta,https://store.bblcdn.eu/s8/default/2bad4609e2544c669ae463f360b9b1ea/Magenta.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515857"";""10200"")",PLA Basic,Red,https://store.bblcdn.eu/s8/default/3b9beb37cd6d4a83bdfe61c28175c385/Red.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515858"";""10205"")",PLA Basic,Maroon Red,https://store.bblcdn.eu/s8/default/067bad6d241a4bc088b6acb1c87d4edb/MaroonRed.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515859"";""10700"")",PLA Basic,Purple,https://store.bblcdn.eu/s8/default/7297bc043a904b6b9e72f7eaed6215ec/PLAPurple.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515860"";""10701"")",PLA Basic,Indigo Purple,https://store.bblcdn.eu/s8/default/49d16b8778a54cdfb1ece6027487f4b0/IndigoPurple.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515861"";""10605"")",PLA Basic,Turquoise,https://store.bblcdn.eu/s8/default/92f6058fa6114720b4c14864a11fe8d8/Turquoise.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515862"";""10603"")",PLA Basic,Cyan,https://store.bblcdn.eu/s8/default/11446178685f4cce88b141b4609121da/CMYK-Cyan-1_e332b67e-db4e-4f11-b05e-196bcf7dcad7.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515863"";""10604"")",PLA Basic,Cobalt Blue,https://store.bblcdn.eu/s8/default/9c64998b2097410abc07497a02198b36/CobaltBlue.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515864"";""10601"")",PLA Basic,Blue,https://store.bblcdn.eu/s8/default/23003aff1408442baa3476e1a1344e56/PLABasicBlue.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515865"";""10800"")",PLA Basic,Brown,https://store.bblcdn.eu/s8/default/24aa6a9d2aa8494b9d59eeb2fe49b7b5/PLA-Basic_Brown.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515866"";""10802"")",PLA Basic,Cocoa Brown,https://store.bblcdn.eu/s8/default/8a0656cc198c466a9c9f8e747f59a96a/CocoaBrown.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515867"";""10801"")",PLA Basic,Bronze,https://store.bblcdn.eu/s8/default/a410256b4aa944fc89efde75c7e3b8fc/Bronze.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515868"";""10103"")",PLA Basic,Gray,https://store.bblcdn.eu/s8/default/bc18c49304864e3d8ffc75db5ab099b7/PLA-Basic_Gray.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515869"";""10102"")",PLA Basic,Silver,https://store.bblcdn.eu/s8/default/42a0b1bbd3004a6ab6df82dfffbdef3e/Sliver.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515870"";""10602"")",PLA Basic,Blue Grey,https://store.bblcdn.eu/s8/default/10342fcd8f9845739098817b95f1750f/PLA-Basic_Blue-Gray.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515871"";""10105"")",PLA Basic,Dark Gray,https://store.bblcdn.eu/s8/default/cd692f8d8f94446bbbe7ed7cbf04622b/pla_basic_dark_gray.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-basic-filament?variant=593611223076515872"";""10101"")",PLA Basic,Black,https://store.bblcdn.eu/s8/default/19633c57e2d446428e4c8401619c6ffb/PLA-Basic_Black_29c482c8-ccd6-4559-bf2b-058f7d0d798f.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803331"";""11100"")",PLA Matte,Matte Ivory White,https://store.bblcdn.eu/s8/default/7021f0243b4948b88c27db7028831dac/Matte-Ivory-White-.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803348"";""11103"")",PLA Matte,Matte Bone White,https://store.bblcdn.eu/s8/default/af6a90b958ac4ad980f3c32bab4dcfd5/7_890c24b1-12ea-47e1-908a-c8c8afb2b48c.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803335"";""11400"")",PLA Matte,Matte Lemon Yellow,https://store.bblcdn.eu/s8/default/5d308d9e41084f1b9d187805082f484a/Matte-Lemon-Yellow.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803336"";""11300"")",PLA Matte,Matte Mandarin Orange,https://store.bblcdn.eu/s8/default/4be28c77bb1a4a9fa49a74786d8b80ba/Matte-Mandarin-Orange.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803337"";""11201"")",PLA Matte,Matte Sakura Pink,https://store.bblcdn.eu/s8/default/f2c77bec37594472b2d2b65466b92e22/Matte-Sakura-Pink.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803341"";""11700"")",PLA Matte,Matte Lilac purple,https://store.bblcdn.eu/s8/default/32dbf332ec9b47999d9687ecff052974/Matte-Lilac-purple.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803349"";""11204"")",PLA Matte,Matte Plum,https://store.bblcdn.eu/s8/default/91fac5c9801748f1b037538efb32e92c/6_f72c2422-d7b7-4097-94a8-5d03ca276299.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803342"";""11200"")",PLA Matte,Matte Scarlet Red,https://store.bblcdn.eu/s8/default/fed38804b21d463eb250aeb152a28ff5/Matte-Scarlet-Red.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803343"";""11202"")",PLA Matte,Matte Dark Red,https://store.bblcdn.eu/s8/default/e6b3a23fbb694a2a9801a4b2e41504a0/Matte-Dark-Red.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803351"";""11502"")",PLA Matte,Matte Apple Green,https://store.bblcdn.eu/s8/default/56ee6a4ff72c4d1ea272b154c6a2b28c/2_29663f78-0df7-4382-b6e7-01fc2bacf724.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803338"";""11500"")",PLA Matte,Matte Grass Green,https://store.bblcdn.eu/s8/default/d34f26d43e53471d895d0fbc2d7c54df/Matte-Grass-Green.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803345"";""11501"")",PLA Matte,Matte Dark Green,https://store.bblcdn.eu/s8/default/7d31e4c8ff0e49ac85cfa21d7e3bf3b3/Matte-Dark-Green.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803339"";""11601"")",PLA Matte,Matte Ice Blue,https://store.bblcdn.eu/s8/default/9df77f51cd8b4d9999a22d07823c4e1e/Matte-Ice-Blue.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803350"";""11603"")",PLA Matte,Matte Sky Blue,https://store.bblcdn.eu/s8/default/2e6a1efc7acb48379d11d44b8a8b2525/4_98e0178d-1490-4ba4-81fb-a696a6a5714a.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803340"";""11600"")",PLA Matte,Matte Marine Blue,https://store.bblcdn.eu/s8/default/07d4c24b8e6f41c6be3bc35d2275ef2c/Matte-Marine-Blue.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803346"";""11602"")",PLA Matte,Matte Dark Blue,https://store.bblcdn.eu/s8/default/744adb541f2740e9a16ca9263b8cea46/Matte-Dark-Blue.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803334"";""11401"")",PLA Matte,Matte Desert Tan,https://store.bblcdn.eu/s8/default/5f179cbe8afb429a96180b81a3f2cc45/Matte-Desert-Tan.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803332"";""11800"")",PLA Matte,Matte Latte Brown,https://store.bblcdn.eu/s8/default/06f67edf60a341f1a2fbf3276ca2cc86/Matte-Latte-Brown.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803353"";""11803"")",PLA Matte,Matte Caramel,https://store.bblcdn.eu/s8/default/1e314f91d87b45d28621087ba57ca22b/8.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803354"";""11203"")",PLA Matte,Matte Terracotta,https://store.bblcdn.eu/s8/default/010f95a01ce7416c80f25adbeca728c0/5_3f98d7f9-1567-41c1-93eb-af106f8c77a0.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803344"";""11801"")",PLA Matte,Matte Dark Brown,https://store.bblcdn.eu/s8/default/85c776d7a6154e4ca28979b266ed3621/Matte-Dark-Brown.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803352"";""11802"")",PLA Matte,Matte Dark Chocolate,https://store.bblcdn.eu/s8/default/bfaca04755004d64be587e2de5c8f97b/3_aa1c9150-6090-4d99-80eb-94e08e1f0838.jpg
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803333"";""11102"")",PLA Matte,Matte Ash Gray,https://store.bblcdn.eu/s8/default/7cab8bed5a5c4cd3b8fd434274b82093/Matte-Ash-Grey.png
"=HYPERLINK(""https://eu.store.bambulab.com/products/pla-matte?variant=593612471288803355"";""11104"")",PLA Matte,Matte Nardo Gray,https://store.bblcdn.eu/s8/default/e5bc5b447e304021a85fc07ff9016999/1_ea5b7083-7377-4995-bef2-6c066be034b2.jpg
